Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328,482.0084034,,,,,,,,
2010,2,201002,Perth,Sydney,Perth - Sydney,434,637.7794118,,,,,,,,
2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158,232.1869748,,,,,,,,
2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225,330.6460084,,,,,,,,
2010,2,201002,Sydney,Townsville,Sydney - Townsville,248,364.4453782,,,,,,,,
2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,314.4810924,,,,,,,,
2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110,161.6491597,,,,,,,,
2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238,349.75,,,,,,,,
2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274,402.6533613,,,,,,,,
2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378,555.4852941,,,,,,,,
2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156,229.2478992,,,,,,,,
2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86,126.3802521,,,,,,,,
2010,3,201003,Adelaide,Perth,Adelaide - Perth,358,526.0945378,,,,,,,,
2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.86,312.8058193,,,,,,,,
2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106,155.7710084,,,,,,,,
2010,3,201003,Albury,Sydney,Albury - Sydney,174,255.6995798,,,,,,,,
2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428,628.9621849,,,,,,,,
2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226,332.1155462,,,,,,,,
2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498,731.8298319,,,,,,,,
2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278,408.5315126,,,,,,,,
2010,3,201003,Avalon,Sydney,Avalon - Sydney,98,144.0147059,,,,,,,,
2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1025.737395,,,,,,,,
2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1049.25,,,,,,,,
2010,3,201003,Ballina,Sydney,Ballina - Sydney,188,276.2731092,,,,,,,,
2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258,379.1407563,,,,,,,,
2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193,283.6207983,,,,,,,,
2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274,402.6533613,,,,,,,,
2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316,464.3739496,,,,,,,,
2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218,320.3592437,,,,,,,,
2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,202.7962185,,,,,,,,
2010,3,201003,Brisbane,Hobart,Brisbane - Hobart,608,893.4789916,,,,,,,,
2010,3,201003,Brisbane,Mackay,Brisbane - Mackay,144,211.6134454,,,,,,,,
2010,3,201003,Brisbane,Melbourne,Brisbane - Melbourne,228,335.0546218,,,,,,,,
2010,3,201003,Brisbane,Mount Isa,Brisbane - Mount Isa,544,799.4285714,,,,,,,,
2010,3,201003,Brisbane,Perth,Brisbane - Perth,558,820.0021008,,,,,,,,
2010,3,201003,Brisbane,Proserpine,Brisbane - Proserpine,198,290.9684874,,,,,,,,
2010,3,201003,Brisbane,Rockhampton,Brisbane - Rockhampton,108,158.710084,,,,,,,,
2010,3,201003,Brisbane,Sydney,Brisbane - Sydney,148,217.4915966,,,,,,,,
2010,3,201003,Brisbane,Townsville,Brisbane - Townsville,298,437.9222689,,,,,,,,
2010,3,201003,Brisbane,Newcastle,Brisbane - Newcastle,78,114.6239496,,,,,,,,
2010,3,201003,Broome,Perth,Broome - Perth,304,446.7394958,,,,,,,,
2010,3,201003,Bundaberg,Brisbane,Bundaberg - Brisbane,320,470.2521008,,,,,,,,
2010,3,201003,Cairns,Melbourne,Cairns - Melbourne,358,526.0945378,,,,,,,,
2010,3,201003,Cairns,Sydney,Cairns - Sydney,338,496.7037815,,,,,,,,
2010,3,201003,Cairns,Townsville,Cairns - Townsville,158,232.1869748,,,,,,,,
2010,3,201003,Canberra,Melbourne,Canberra - Melbourne,106,155.7710084,,,,,,,,
2010,3,201003,Canberra,Sydney,Canberra - Sydney,138,202.7962185,,,,,,,,
2010,3,201003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,261.5777311,,,,,,,,
2010,3,201003,Darwin,Melbourne,Darwin - Melbourne,398,584.8760504,,,,,,,,
2010,3,201003,Darwin,Perth,Darwin - Perth,448,658.3529412,,,,,,,,
2010,3,201003,Darwin,Sydney,Darwin - Sydney,388,570.1806723,,,,,,,,
2010,3,201003,Devonport,Melbourne,Devonport - Melbourne,270,396.7752101,,,,,,,,
2010,3,201003,Dubbo,Sydney,Dubbo - Sydney,248,364.4453782,,,,,,,,
2010,3,201003,Geraldton,Perth,Geraldton - Perth,444,652.4747899,,,,,,,,
2010,3,201003,Gold Coast,Sydney,Gold Coast - Sydney,86,126.3802521,,,,,,,,
2010,3,201003,Hamilton Island,Sydney,Hamilton Island - Sydney,374,549.6071429,,,,,,,,
2010,3,201003,Hervey Bay,Sydney,Hervey Bay - Sydney,350,514.3382353,,,,,,,,
2010,3,201003,Hobart,Melbourne,Hobart - Melbourne,56,82.29411765,,,,,,,,
2010,3,201003,Hobart,Sydney,Hobart - Sydney,198,290.9684874,,,,,,,,
2010,3,201003,Kalgoorlie,Perth,Kalgoorlie - Perth,359,527.5640756,,,,,,,,
2010,3,201003,Karratha,Perth,Karratha - Perth,358,526.0945378,,,,,,,,
2010,3,201003,Launceston,Melbourne,Launceston - Melbourne,56,82.29411765,,,,,,,,
2010,3,201003,Launceston,Sydney,Launceston - Sydney,249.9,367.2375,,,,,,,,
2010,3,201003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156,229.2478992,,,,,,,,
2010,3,201003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208,305.6638655,,,,,,,,
2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186,273.3340336,,,,,,,,
2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198,290.9684874,,,,,,,,
2010,3,201003,Melbourne,Perth,Melbourne - Perth,376,552.5462185,,,,,,,,
2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66,96.9894958,,,,,,,,
2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158,232.1869748,,,,,,,,
2010,3,201003,Paraburdoo,Perth,Paraburdoo - Perth,409,601.0409664,,,,,,,,
2010,3,201003,Perth,Newman,Perth - Newman,348,511.3991597,,,,,,,,
2010,3,201003,Perth,Port Hedland,Perth - Port Hedland,358,526.0945378,,,,,,,,
2010,3,201003,Perth,Sydney,Perth - Sydney,478,702.4390756,,,,,,,,
2010,3,201003,Port Macquarie,Sydney,Port Macquarie - Sydney,158,232.1869748,,,,,,,,
2010,3,201003,Sydney,Tamworth,Sydney - Tamworth,190,279.2121849,,,,,,,,
2010,3,201003,Sydney,Townsville,Sydney - Townsville,228,335.0546218,,,,,,,,
